NA_atom_unit,NB_atom_unit,NC_atom_unit,N_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,Row_A,Row_B,Row_C,PA,PB,PC,rA_pm,rB_pm,rC_pm,rCA_pm,rCB_pm,rCC_pm,XA,XB,XC,Ave_X,Std_Dev_Pauling_Electronegativity,a_Å_uint,c_Å_unit,Ave_Mass_g_mol,A_C_Å,B_C_Å,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_Bondlength_Å,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1_00E+18,1E18_Pockets,1_00E+19,1_00E+19,1E19_Pockets,1_00E+20,1_00E+20,1E20_Pockets,1_00E+21,1_00E+21,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,1_00E+18,1_00E+18,#NAME?,1_00E+19,1_00E+19,#NAME?_1,1_00E+20,1_00E+20,#NAME?_2,1_00E+21,1_00E+21,CB_dos_at_0_1_states_atom,Time_fs,K_min,K_diff,Type,Temperature,Kpa,N_optimal,ZT
1,2,4,7,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.37,0.22,3.82,37.787,76.9,2.756,2.722,1.99,1.93,2.739,1.959,0.89,0.67,1.2,51.14,0.62,2.66,4,-0.04,0.421,0,-0.049,0.484,0,-0.091,0.599,0,-0.2,0.81,0.091,0.21,3.24,1,-0.04,0.421,1,-0.049,0.484,4,-0.091,0.599,5,-0.2,0.81,0.005,10,0.62,0.39,0,100,2.15,0.27,0.02
1,2,4,7,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.12,0.05,4.073,40.022,104.69,2.927,2.905,1.88,1.73,2.916,1.803,0.75,0.78,0.88,48.6,0.18,1.36,6,-0.021,0.206,0,-0.047,0.254,0,-0.116,0.335,0,-0.271,0.471,0.071,0.07,1.17,2,-0.021,0.206,0,-0.047,0.254,0,-0.116,0.335,2,-0.271,0.471,0.017,10,0.52,0.33,1,100,3.07,-3.08,0.03
1,2,4,7,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.32,0.26,4.076,38.745,115.2,2.812,2.958,1.83,1.71,2.885,1.773,0.87,0.63,1.37,35.72,0.2,1.41,1,-0.049,0.328,0,-0.105,0.395,0,-0.233,0.58,1,-0.379,0.897,0.003,0.18,1.79,1,-0.049,0.328,1,-0.105,0.395,1,-0.233,0.58,3,-0.379,0.897,0.002,10,0.47,0.3,0,100,2.54,11.04,0.02
1,2,4,7,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.283,41.826,143,2.966,3.147,1.77,1.57,3.056,1.671,1.03,0.73,0.63,36.7,0.2,4.39,1,-0.062,0.592,0,-0.116,0.622,0,-0.199,0.669,0,-0.358,0.779,0.004,0.23,3.48,5,-0.062,0.592,8,-0.116,0.622,8,-0.199,0.669,11,-0.358,0.779,0.047,10,0.4,0.25,1,100,2.63,-2.57,0.03
1,2,4,7,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.33,0.25,4.004,38.481,90.28,2.798,2.887,1.85,1.81,2.842,1.829,0.55,1.04,1.36,47.13,0.09,3.11,1,-0.06,0.052,1,-0.132,0.136,1,-0.266,0.308,3,-0.432,0.578,0.001,0.08,2.43,1,-0.06,0.052,1,-0.132,0.136,1,-0.266,0.308,1,-0.432,0.578,0.001,10,0.53,0.33,0,100,2.69,-2.7,0.01
1,2,4,7,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.04,4.224,41.25,118.07,2.958,3.071,1.77,1.66,3.014,1.716,0.61,0.96,0.72,43.52,0.12,3.11,1,-0.048,0.252,0,-0.129,0.277,0,-0.23,0.327,1,-0.435,0.47,0.001,0.1,1.17,6,-0.048,0.252,6,-0.129,0.277,8,-0.23,0.327,9,-0.435,0.47,0.026,10,0.45,0.28,1,100,3.16,-5.52,0.02
1,2,4,7,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.236,41.762,136.64,2.897,3.15,1.9,1.54,3.024,1.719,0.95,0.77,0.52,40.8,0.25,6.57,1,-0.047,0.47,0,-0.068,0.483,0,-0.141,0.512,0,-0.261,0.631,0.041,0.14,1,6,-0.047,0.47,8,-0.068,0.483,8,-0.141,0.512,8,-0.261,0.631,0.193,10,0.41,0.26,1,100,2.1,-0.39,0.07
1,2,4,7,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.08,0.05,4.182,41.16,111.71,2.887,3.073,1.91,1.63,2.98,1.772,0.45,0.88,0.67,42.86,0.11,2.58,1,-0.107,0.096,1,-0.201,0.11,1,-0.278,0.162,1,-0.441,0.275,0.001,0.08,1.42,6,-0.107,0.096,1,-0.201,0.11,3,-0.278,0.162,6,-0.441,0.275,0.031,10,0.47,0.29,1,100,2.47,-2.4,0.03
1,2,4,7,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.36,0.23,3.877,38.464,83.48,2.924,2.731,1.76,1.9,2.827,1.83,0.69,0.67,1.25,48.02,0.1,1.1,4,-0.007,0.262,0,-0.022,0.334,0,-0.072,0.529,0,-0.167,0.768,0.12,0.19,2.91,1,-0.007,0.262,1,-0.022,0.334,1,-0.072,0.529,5,-0.167,0.768,0.002,10,0.58,0.36,0,100,1.72,0.37,0.02
1,2,4,7,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.11,0.07,4.132,40.736,111.28,3.104,2.914,1.7,1.7,3.009,1.699,0.68,0.82,0.68,33.89,0.15,1.4,4,-0.047,0.239,0,-0.076,0.27,0,-0.149,0.306,0,-0.339,0.401,0.034,0.15,2.05,4,-0.047,0.239,1,-0.076,0.27,1,-0.149,0.306,4,-0.339,0.401,0.029,10,0.49,0.31,1,100,2.6,-0.41,0.04
